Generated by Rfunction:  Gera.mw41.edt.skewT.func2 
============> Radisonde_info:
RS_type:        RS41-SGP
RS_config:      -32768
RS_serialnum:   X1422247
RS_freq:        405
RS__windtype:   ccGPS
=============> Station_info:
Station:        HUBV_RS41SGP
Latitude:       39.0563
Longitude:      -76.8755
Altitude:       52.3
SW version:     MW41 2.15.0
Start time:     2025-06-23 06:45:05
=============> Variables & units - Vaisala EDT
NA_numeric value:  -9999
NA_string:  xx or NA
-----------------------------
	  Variable       Unit
	      time        sec
	        xx         NA
	        Ta          K
	        RH          %
	   v(S->N)        m/s
	   u(E->W)        m/s
	    Height          m
	     press        hPa
	        Td          K
	        MR       g/Kg
	        DD        dgr
	        FF        m/s
	Ascend_FLG  (0-N,1-Y)
	        xx         NA
	        xx         NA
	       Lon        dgr
	       Lat        dgr
	        xx         NA
	        xx         NA
	        xx         NA
=============> Data:
  55.59  -9999.    302.57    57.07     -9.09      7.96        314.6    982.85    293.22    15.05     318.78     12.08 1  -9999.  -9999.   -76.8718    39.0546  -9999.  -9999.  -9999.
  56.59  -9999.    302.60    56.89     -9.25      7.92        318.3    982.40    293.20    15.03     319.44     12.18 1  -9999.  -9999.   -76.8717    39.0545  -9999.  -9999.  -9999.
  57.59  -9999.    302.62    56.83     -9.40      7.87        322.0    981.96    293.20    15.04     320.07     12.27 1  -9999.  -9999.   -76.8716    39.0545  -9999.  -9999.  -9999.
  58.59  -9999.    302.62    56.80     -9.55      7.83        326.5    981.52    293.19    15.04     320.67     12.35 1  -9999.  -9999.   -76.8715    39.0544  -9999.  -9999.  -9999.
  59.59  -9999.    302.62    56.73     -9.69      7.78        329.5    981.07    293.17    15.03     321.25     12.43 1  -9999.  -9999.   -76.8714    39.0543  -9999.  -9999.  -9999.
  60.59  -9999.    302.62    56.63     -9.82      7.73        333.7    980.62    293.14    15.00     321.79     12.50 1  -9999.  -9999.   -76.8713    39.0542  -9999.  -9999.  -9999.
  61.59  -9999.    302.62    56.54     -9.94      7.68        339.4    980.17    293.12    14.99     322.29     12.56 1  -9999.  -9999.   -76.8712    39.0541  -9999.  -9999.  -9999.
  62.59  -9999.    302.63    56.42    -10.04      7.64        343.2    979.72    293.10    14.98     322.75     12.62 1  -9999.  -9999.   -76.8711    39.0540  -9999.  -9999.  -9999.
  63.59  -9999.    302.67    56.22    -10.13      7.59        348.2    979.27    293.07    14.96     323.15     12.66 1  -9999.  -9999.   -76.8710    39.0539  -9999.  -9999.  -9999.
  64.59  -9999.    302.69    55.98    -10.21      7.55        352.2    978.82    293.02    14.92     323.51     12.70 1  -9999.  -9999.   -76.8710    39.0538  -9999.  -9999.  -9999.
  65.59  -9999.    302.70    55.75    -10.27      7.51        353.8    978.37    292.96    14.87     323.82     12.72 1  -9999.  -9999.   -76.8709    39.0537  -9999.  -9999.  -9999.
  66.59  -9999.    302.70    55.59    -10.31      7.47        357.8    977.92    292.91    14.83     324.07     12.73 1  -9999.  -9999.   -76.8708    39.0536  -9999.  -9999.  -9999.
  67.59  -9999.    302.69    55.59    -10.34      7.44        362.1    977.47    292.91    14.84     324.27     12.73 1  -9999.  -9999.   -76.8707    39.0534  -9999.  -9999.  -9999.
  68.59  -9999.    302.67    55.72    -10.35      7.40        368.5    977.01    292.93    14.86     324.42     12.72 1  -9999.  -9999.   -76.8707    39.0533  -9999.  -9999.  -9999.
  69.59  -9999.    302.64    55.83    -10.34      7.38        373.4    976.55    292.93    14.87     324.51     12.70 1  -9999.  -9999.   -76.8706    39.0532  -9999.  -9999.  -9999.
  70.59  -9999.    302.62    55.84    -10.32      7.35        377.2    976.09    292.92    14.86     324.55     12.67 1  -9999.  -9999.   -76.8706    39.0531  -9999.  -9999.  -9999.
  71.59  -9999.    302.60    55.79    -10.29      7.33        379.7    975.64    292.89    14.84     324.55     12.63 1  -9999.  -9999.   -76.8705    39.0530  -9999.  -9999.  -9999.
  72.59  -9999.    302.60    55.78    -10.24      7.30        382.4    975.18    292.88    14.84     324.52     12.58 1  -9999.  -9999.   -76.8704    39.0529  -9999.  -9999.  -9999.
  73.59  -9999.    302.59    55.83    -10.18      7.28        387.2    974.71    292.89    14.86     324.45     12.52 1  -9999.  -9999.   -76.8704    39.0528  -9999.  -9999.  -9999.
  74.59  -9999.    302.57    55.90    -10.12      7.25        393.4    974.24    292.89    14.87     324.35     12.45 1  -9999.  -9999.   -76.8703    39.0527  -9999.  -9999.  -9999.
  75.59  -9999.    302.54    55.97    -10.04      7.23        398.3    973.78    292.88    14.87     324.24     12.37 1  -9999.  -9999.   -76.8702    39.0526  -9999.  -9999.  -9999.
  76.59  -9999.    302.50    56.00     -9.95      7.20        402.5    973.32    292.86    14.85     324.13     12.28 1  -9999.  -9999.   -76.8701    39.0525  -9999.  -9999.  -9999.
  77.59  -9999.    302.46    55.96     -9.87      7.17        407.7    972.87    292.81    14.81     324.01     12.19 1  -9999.  -9999.   -76.8700    39.0525  -9999.  -9999.  -9999.
  78.59  -9999.    302.45    55.89     -9.77      7.13        408.9    972.43    292.77    14.79     323.90     12.10 1  -9999.  -9999.   -76.8699    39.0524  -9999.  -9999.  -9999.
