Generated by Rfunction:  Gera.mw41.edt.skewT.func2 
============> Radisonde_info:
RS_type:        RS41-SGP
RS_config:      -32768
RS_serialnum:   X1422247
RS_freq:        405
RS__windtype:   ccGPS
=============> Station_info:
Station:        HUBV_RS41SGP
Latitude:       39.0563
Longitude:      -76.8755
Altitude:       52.3
SW version:     MW41 2.15.0
Start time:     2025-06-23 06:45:05
=============> Variables & units - Vaisala EDT
NA_numeric value:  -9999
NA_string:  xx or NA
-----------------------------
	  Variable       Unit
	      time        sec
	        xx         NA
	        Ta          K
	        RH          %
	   v(S->N)        m/s
	   u(E->W)        m/s
	    Height          m
	     press        hPa
	        Td          K
	        MR       g/Kg
	        DD        dgr
	        FF        m/s
	Ascend_FLG  (0-N,1-Y)
	        xx         NA
	        xx         NA
	       Lon        dgr
	       Lat        dgr
	        xx         NA
	        xx         NA
	        xx         NA
=============> Data:
2901.59  -9999.    221.27    30.44    -16.62      0.46      11893.9    218.34    211.45     0.04     358.40     16.62 1  -9999.  -9999.   -76.8536    38.8494  -9999.  -9999.  -9999.
2902.59  -9999.    221.24    29.78    -16.60      0.46      11899.2    218.21    211.25     0.04     358.43     16.60 1  -9999.  -9999.   -76.8536    38.8492  -9999.  -9999.  -9999.
2903.59  -9999.    221.22    29.20    -16.58      0.45      11902.2    218.08    211.07     0.04     358.45     16.58 1  -9999.  -9999.   -76.8536    38.8491  -9999.  -9999.  -9999.
2904.59  -9999.    221.19    28.64    -16.55      0.44      11905.7    217.95    210.90     0.04     358.48     16.56 1  -9999.  -9999.   -76.8536    38.8489  -9999.  -9999.  -9999.
2905.59  -9999.    221.17    28.01    -16.53      0.43      11910.1    217.81    210.71     0.04     358.51     16.54 1  -9999.  -9999.   -76.8536    38.8488  -9999.  -9999.  -9999.
2906.59  -9999.    221.17    27.24    -16.51      0.42      11914.5    217.68    210.49     0.04     358.54     16.51 1  -9999.  -9999.   -76.8536    38.8486  -9999.  -9999.  -9999.
2907.59  -9999.    221.17    26.31    -16.48      0.41      11917.9    217.55    210.22     0.04     358.56     16.49 1  -9999.  -9999.   -76.8536    38.8485  -9999.  -9999.  -9999.
2908.59  -9999.    221.16    25.27    -16.45      0.41      11921.1    217.42    209.90     0.04     358.59     16.46 1  -9999.  -9999.   -76.8536    38.8483  -9999.  -9999.  -9999.
2909.59  -9999.    221.15    24.22    -16.42      0.40      11925.8    217.28    209.57     0.03     358.61     16.42 1  -9999.  -9999.   -76.8536    38.8482  -9999.  -9999.  -9999.
2910.59  -9999.    221.15    23.23    -16.38      0.39      11929.2    217.15    209.25     0.03     358.63     16.39 1  -9999.  -9999.   -76.8536    38.8480  -9999.  -9999.  -9999.
2911.59  -9999.    221.16    22.34    -16.35      0.39      11934.2    217.02    208.96     0.03     358.65     16.35 1  -9999.  -9999.   -76.8536    38.8479  -9999.  -9999.  -9999.
2912.59  -9999.    221.17    21.58    -16.31      0.38      11938.4    216.88    208.71     0.03     358.67     16.32 1  -9999.  -9999.   -76.8536    38.8477  -9999.  -9999.  -9999.
2913.59  -9999.    221.17    20.97    -16.27      0.37      11941.5    216.75    208.49     0.03     358.70     16.27 1  -9999.  -9999.   -76.8536    38.8476  -9999.  -9999.  -9999.
2914.59  -9999.    221.15    20.51    -16.23      0.36      11945.5    216.61    208.30     0.03     358.74     16.23 1  -9999.  -9999.   -76.8536    38.8474  -9999.  -9999.  -9999.
2915.59  -9999.    221.13    20.16    -16.18      0.34      11950.2    216.48    208.15     0.03     358.79     16.19 1  -9999.  -9999.   -76.8536    38.8473  -9999.  -9999.  -9999.
2916.59  -9999.    221.11    19.93    -16.14      0.32      11954.0    216.34    208.05     0.03     358.85     16.14 1  -9999.  -9999.   -76.8536    38.8471  -9999.  -9999.  -9999.
2917.59  -9999.    221.09    19.86    -16.09      0.30      11957.5    216.21    208.00     0.03     358.92     16.09 1  -9999.  -9999.   -76.8536    38.8470  -9999.  -9999.  -9999.
2918.59  -9999.    221.06    19.90    -16.04      0.28      11961.6    216.07    207.99     0.03     359.01     16.04 1  -9999.  -9999.   -76.8536    38.8468  -9999.  -9999.  -9999.
2919.59  -9999.    221.02    19.90    -15.98      0.25      11966.1    215.94    207.96     0.03     359.12     15.99 1  -9999.  -9999.   -76.8536    38.8467  -9999.  -9999.  -9999.
2920.59  -9999.    220.98    19.77    -15.93      0.21      11970.1    215.80    207.87     0.03     359.25     15.93 1  -9999.  -9999.   -76.8536    38.8466  -9999.  -9999.  -9999.
2921.59  -9999.    220.95    19.50    -15.87      0.17      11974.6    215.66    207.74     0.03     359.40     15.87 1  -9999.  -9999.   -76.8536    38.8464  -9999.  -9999.  -9999.
2922.59  -9999.    220.91    19.10    -15.82      0.12      11978.8    215.53    207.55     0.03     359.56     15.82 1  -9999.  -9999.   -76.8536    38.8463  -9999.  -9999.  -9999.
2923.59  -9999.    220.89    18.61    -15.76      0.07      11983.0    215.40    207.33     0.03     359.75     15.76 1  -9999.  -9999.   -76.8536    38.8461  -9999.  -9999.  -9999.
2924.59  -9999.    220.85    18.03    -15.70      0.01      11986.5    215.27    207.07     0.02     359.96     15.70 1  -9999.  -9999.   -76.8536    38.8460  -9999.  -9999.  -9999.
2925.59  -9999.    220.82    17.36    -15.64     -0.05      11990.2    215.15    206.76     0.02       0.19     15.64 1  -9999.  -9999.   -76.8535    38.8458  -9999.  -9999.  -9999.
2926.59  -9999.    220.80    16.62    -15.57     -0.12      11992.1    215.02    206.42     0.02       0.43     15.57 1  -9999.  -9999.   -76.8535    38.8457  -9999.  -9999.  -9999.
2927.59  -9999.    220.80    15.85    -15.51     -0.19      11996.8    214.90    206.06     0.02       0.70     15.51 1  -9999.  -9999.   -76.8535    38.8455  -9999.  -9999.  -9999.
2928.59  -9999.    220.79    15.12    -15.45     -0.26      12000.6    214.77    205.71     0.02       0.98     15.45 1  -9999.  -9999.   -76.8535    38.8454  -9999.  -9999.  -9999.
2929.59  -9999.    220.78    14.44    -15.39     -0.34      12004.6    214.64    205.36     0.02       1.27     15.39 1  -9999.  -9999.   -76.8535    38.8453  -9999.  -9999.  -9999.
2930.59  -9999.    220.77    13.87    -15.33     -0.42      12008.9    214.50    205.06     0.02       1.58     15.33 1  -9999.  -9999.   -76.8535    38.8452  -9999.  -9999.  -9999.
2931.59  -9999.    220.76    13.42    -15.27     -0.50      12013.4    214.37    204.81     0.02       1.89     15.28 1  -9999.  -9999.   -76.8535    38.8450  -9999.  -9999.  -9999.
2932.59  -9999.    220.74    13.13    -15.21     -0.58      12017.8    214.23    204.63     0.02       2.20     15.22 1  -9999.  -9999.   -76.8535    38.8449  -9999.  -9999.  -9999.
2933.59  -9999.    220.72    12.97    -15.15     -0.66      12021.2    214.09    204.53     0.02       2.51     15.16 1  -9999.  -9999.   -76.8535    38.8448  -9999.  -9999.  -9999.
2934.59  -9999.    220.71    12.92    -15.09     -0.74      12025.3    213.96    204.49     0.02       2.82     15.11 1  -9999.  -9999.   -76.8535    38.8446  -9999.  -9999.  -9999.
2935.59  -9999.    220.69    12.97    -15.04     -0.82      12030.7    213.82    204.50     0.02       3.11     15.06 1  -9999.  -9999.   -76.8535    38.8445  -9999.  -9999.  -9999.
2936.59  -9999.    220.68    13.08    -14.99     -0.89      12034.6    213.69    204.56     0.02       3.40     15.01 1  -9999.  -9999.   -76.8536    38.8443  -9999.  -9999.  -9999.
2937.59  -9999.    220.67    13.23    -14.93     -0.96      12037.5    213.57    204.62     0.02       3.66     14.97 1  -9999.  -9999.   -76.8536    38.8442  -9999.  -9999.  -9999.
2938.59  -9999.    220.64    13.37    -14.89     -1.02      12041.5    213.44    204.68     0.02       3.91     14.92 1  -9999.  -9999.   -76.8537    38.8441  -9999.  -9999.  -9999.
2939.59  -9999.    220.61    13.48    -14.84     -1.07      12044.5    213.32    204.71     0.02       4.13     14.88 1  -9999.  -9999.   -76.8537    38.8439  -9999.  -9999.  -9999.
2940.59  -9999.    220.59    13.57    -14.80     -1.12      12048.4    213.20    204.74     0.02       4.33     14.84 1  -9999.  -9999.   -76.8537    38.8438  -9999.  -9999.  -9999.
2941.59  -9999.    220.59    13.63    -14.76     -1.16      12052.0    213.07    204.78     0.02       4.49     14.80 1  -9999.  -9999.   -76.8537    38.8437  -9999.  -9999.  -9999.
2942.59  -9999.    220.58    13.67    -14.72     -1.19      12056.0    212.95    204.79     0.02       4.62     14.77 1  -9999.  -9999.   -76.8537    38.8436  -9999.  -9999.  -9999.
2943.59  -9999.    220.56    13.69    -14.68     -1.21      12060.3    212.82    204.78     0.02       4.72     14.73 1  -9999.  -9999.   -76.8537    38.8435  -9999.  -9999.  -9999.
2944.59  -9999.    220.53    13.72    -14.65     -1.22      12063.6    212.69    204.77     0.02       4.78     14.70 1  -9999.  -9999.   -76.8537    38.8433  -9999.  -9999.  -9999.
2945.59  -9999.    220.49    13.76    -14.62     -1.23      12066.4    212.56    204.76     0.02       4.80     14.67 1  -9999.  -9999.   -76.8537    38.8432  -9999.  -9999.  -9999.
2946.59  -9999.    220.46    13.83    -14.59     -1.22      12071.4    212.43    204.77     0.02       4.79     14.65 1  -9999.  -9999.   -76.8538    38.8430  -9999.  -9999.  -9999.
2947.59  -9999.    220.43    13.93    -14.57     -1.21      12076.8    212.30    204.80     0.02       4.74     14.62 1  -9999.  -9999.   -76.8538    38.8429  -9999.  -9999.  -9999.
2948.59  -9999.    220.41    14.06    -14.55     -1.19      12080.9    212.16    204.85     0.02       4.66     14.60 1  -9999.  -9999.   -76.8538    38.8428  -9999.  -9999.  -9999.
2949.59  -9999.    220.38    14.18    -14.53     -1.15      12084.8    212.03    204.89     0.02       4.54     14.58 1  -9999.  -9999.   -76.8538    38.8426  -9999.  -9999.  -9999.
2950.59  -9999.    220.35    14.28    -14.51     -1.12      12086.9    211.90    204.91     0.02       4.40     14.56 1  -9999.  -9999.   -76.8538    38.8425  -9999.  -9999.  -9999.
2951.59  -9999.    220.31    14.35    -14.50     -1.07      12091.4    211.77    204.91     0.02       4.23     14.54 1  -9999.  -9999.   -76.8539    38.8424  -9999.  -9999.  -9999.
2952.59  -9999.    220.27    14.38    -14.49     -1.02      12096.4    211.64    204.89     0.02       4.02     14.53 1  -9999.  -9999.   -76.8539    38.8423  -9999.  -9999.  -9999.
2953.59  -9999.    220.23    14.39    -14.48     -0.96      12099.4    211.51    204.87     0.02       3.80     14.51 1  -9999.  -9999.   -76.8539    38.8422  -9999.  -9999.  -9999.
2954.59  -9999.    220.20    14.38    -14.48     -0.90      12103.9    211.37    204.83     0.02       3.55     14.50 1  -9999.  -9999.   -76.8540    38.8420  -9999.  -9999.  -9999.
2955.59  -9999.    220.16    14.40    -14.47     -0.83      12108.4    211.24    204.81     0.02       3.29     14.49 1  -9999.  -9999.   -76.8540    38.8419  -9999.  -9999.  -9999.
2956.59  -9999.    220.12    14.45    -14.47     -0.76      12112.3    211.10    204.81     0.02       3.01     14.49 1  -9999.  -9999.   -76.8540    38.8418  -9999.  -9999.  -9999.
2957.59  -9999.    220.10    14.54    -14.47     -0.69      12116.5    210.97    204.83     0.02       2.73     14.48 1  -9999.  -9999.   -76.8540    38.8416  -9999.  -9999.  -9999.
2958.59  -9999.    220.07    14.64    -14.47     -0.61      12121.0    210.83    204.86     0.02       2.43     14.48 1  -9999.  -9999.   -76.8540    38.8415  -9999.  -9999.  -9999.
2959.59  -9999.    220.04    14.75    -14.47     -0.54      12124.1    210.70    204.89     0.02       2.13     14.48 1  -9999.  -9999.   -76.8540    38.8414  -9999.  -9999.  -9999.
2960.59  -9999.    220.02    14.87    -14.48     -0.46      12128.7    210.57    204.92     0.02       1.84     14.48 1  -9999.  -9999.   -76.8540    38.8412  -9999.  -9999.  -9999.
2961.59  -9999.    220.00    15.00    -14.48     -0.39      12133.7    210.45    204.97     0.02       1.54     14.49 1  -9999.  -9999.   -76.8539    38.8411  -9999.  -9999.  -9999.
2962.59  -9999.    219.98    15.13    -14.49     -0.31      12137.1    210.32    205.02     0.02       1.24     14.49 1  -9999.  -9999.   -76.8539    38.8410  -9999.  -9999.  -9999.
2963.59  -9999.    219.96    15.30    -14.50     -0.24      12139.4    210.20    205.08     0.02       0.94     14.50 1  -9999.  -9999.   -76.8539    38.8408  -9999.  -9999.  -9999.
2964.59  -9999.    219.93    15.48    -14.50     -0.16      12142.6    210.07    205.14     0.02       0.65     14.51 1  -9999.  -9999.   -76.8539    38.8407  -9999.  -9999.  -9999.
2965.59  -9999.    219.88    15.69    -14.51     -0.09      12147.0    209.95    205.20     0.02       0.37     14.51 1  -9999.  -9999.   -76.8539    38.8406  -9999.  -9999.  -9999.
2966.59  -9999.    219.84    15.92    -14.53     -0.02      12152.3    209.82    205.27     0.02       0.09     14.53 1  -9999.  -9999.   -76.8539    38.8405  -9999.  -9999.  -9999.
2967.59  -9999.    219.80    16.17    -14.54      0.05      12154.7    209.69    205.35     0.02     359.81     14.54 1  -9999.  -9999.   -76.8540    38.8403  -9999.  -9999.  -9999.
2968.59  -9999.    219.76    16.46    -14.55      0.11      12159.8    209.56    205.45     0.02     359.55     14.55 1  -9999.  -9999.   -76.8540    38.8402  -9999.  -9999.  -9999.
2969.59  -9999.    219.73    16.78    -14.56      0.18      12163.0    209.42    205.56     0.02     359.29     14.57 1  -9999.  -9999.   -76.8540    38.8401  -9999.  -9999.  -9999.
2970.59  -9999.    219.68    17.14    -14.58      0.24      12167.9    209.29    205.68     0.02     359.05     14.58 1  -9999.  -9999.   -76.8540    38.8399  -9999.  -9999.  -9999.
2971.59  -9999.    219.65    17.52    -14.60      0.30      12172.1    209.15    205.81     0.02     358.81     14.60 1  -9999.  -9999.   -76.8540    38.8398  -9999.  -9999.  -9999.
2972.59  -9999.    219.62    17.92    -14.61      0.36      12176.1    209.01    205.95     0.02     358.58     14.62 1  -9999.  -9999.   -76.8539    38.8397  -9999.  -9999.  -9999.
2973.59  -9999.    219.59    18.30    -14.63      0.42      12180.0    208.88    206.08     0.02     358.35     14.64 1  -9999.  -9999.   -76.8539    38.8395  -9999.  -9999.  -9999.
2974.59  -9999.    219.56    18.67    -14.65      0.48      12185.4    208.74    206.20     0.02     358.13     14.66 1  -9999.  -9999.   -76.8539    38.8394  -9999.  -9999.  -9999.
2975.59  -9999.    219.53    19.01    -14.66      0.54      12189.5    208.61    206.31     0.02     357.91     14.67 1  -9999.  -9999.   -76.8539    38.8393  -9999.  -9999.  -9999.
2976.59  -9999.    219.49    19.33    -14.68      0.59      12193.4    208.48    206.40     0.02     357.69     14.69 1  -9999.  -9999.   -76.8539    38.8392  -9999.  -9999.  -9999.
2977.59  -9999.    219.46    19.62    -14.70      0.65      12196.4    208.35    206.48     0.02     357.48     14.71 1  -9999.  -9999.   -76.8539    38.8390  -9999.  -9999.  -9999.
2978.59  -9999.    219.43    19.89    -14.72      0.70      12200.6    208.22    206.56     0.02     357.26     14.74 1  -9999.  -9999.   -76.8539    38.8389  -9999.  -9999.  -9999.
2979.59  -9999.    219.40    20.14    -14.74      0.76      12204.4    208.09    206.62     0.02     357.05     14.76 1  -9999.  -9999.   -76.8539    38.8388  -9999.  -9999.  -9999.
2980.59  -9999.    219.36    20.39    -14.76      0.82      12208.3    207.97    206.68     0.02     356.84     14.78 1  -9999.  -9999.   -76.8539    38.8386  -9999.  -9999.  -9999.
2981.59  -9999.    219.32    20.62    -14.78      0.87      12213.2    207.84    206.73     0.02     356.62     14.80 1  -9999.  -9999.   -76.8539    38.8385  -9999.  -9999.  -9999.
2982.59  -9999.    219.28    20.84    -14.80      0.93      12217.3    207.72    206.78     0.02     356.41     14.82 1  -9999.  -9999.   -76.8539    38.8384  -9999.  -9999.  -9999.
2983.59  -9999.    219.24    21.05    -14.81      0.99      12220.3    207.59    206.81     0.02     356.19     14.85 1  -9999.  -9999.   -76.8539    38.8382  -9999.  -9999.  -9999.
2984.59  -9999.    219.21    21.23    -14.83      1.04      12222.8    207.46    206.85     0.02     355.98     14.87 1  -9999.  -9999.   -76.8539    38.8381  -9999.  -9999.  -9999.
2985.59  -9999.    219.18    21.39    -14.85      1.10      12227.2    207.34    206.88     0.03     355.76     14.89 1  -9999.  -9999.   -76.8538    38.8380  -9999.  -9999.  -9999.
2986.59  -9999.    219.14    21.53    -14.87      1.16      12231.4    207.21    206.89     0.03     355.53     14.91 1  -9999.  -9999.   -76.8538    38.8378  -9999.  -9999.  -9999.
2987.59  -9999.    219.09    21.65    -14.88      1.22      12236.3    207.07    206.89     0.03     355.31     14.93 1  -9999.  -9999.   -76.8538    38.8377  -9999.  -9999.  -9999.
2988.59  -9999.    219.05    21.76    -14.90      1.28      12240.2    206.94    206.89     0.03     355.09     14.95 1  -9999.  -9999.   -76.8538    38.8376  -9999.  -9999.  -9999.
2989.59  -9999.    219.02    21.87    -14.91      1.34      12244.3    206.80    206.90     0.03     354.86     14.97 1  -9999.  -9999.   -76.8538    38.8374  -9999.  -9999.  -9999.
2990.59  -9999.    218.99    22.00    -14.92      1.40      12248.9    206.66    206.92     0.03     354.64     14.99 1  -9999.  -9999.   -76.8538    38.8373  -9999.  -9999.  -9999.
2991.59  -9999.    218.95    22.13    -14.93      1.46      12253.9    206.52    206.93     0.03     354.41     15.01 1  -9999.  -9999.   -76.8538    38.8371  -9999.  -9999.  -9999.
2992.59  -9999.    218.91    22.26    -14.95      1.52      12257.2    206.39    206.94     0.03     354.18     15.02 1  -9999.  -9999.   -76.8538    38.8370  -9999.  -9999.  -9999.
2993.59  -9999.    218.87    22.37    -14.96      1.58      12262.9    206.25    206.94     0.03     353.95     15.04 1  -9999.  -9999.   -76.8537    38.8369  -9999.  -9999.  -9999.
2994.59  -9999.    218.83    22.47    -14.96      1.64      12265.4    206.12    206.94     0.03     353.73     15.06 1  -9999.  -9999.   -76.8537    38.8367  -9999.  -9999.  -9999.
2995.59  -9999.    218.79    22.52    -14.97      1.70      12269.9    205.99    206.92     0.03     353.51     15.07 1  -9999.  -9999.   -76.8537    38.8366  -9999.  -9999.  -9999.
2996.59  -9999.    218.76    22.54    -14.98      1.76      12274.7    205.86    206.90     0.03     353.29     15.08 1  -9999.  -9999.   -76.8537    38.8365  -9999.  -9999.  -9999.
2997.59  -9999.    218.73    22.52    -14.98      1.82      12277.4    205.72    206.87     0.03     353.08     15.09 1  -9999.  -9999.   -76.8536    38.8363  -9999.  -9999.  -9999.
2998.59  -9999.    218.70    22.46    -14.99      1.87      12280.9    205.59    206.82     0.03     352.87     15.10 1  -9999.  -9999.   -76.8536    38.8362  -9999.  -9999.  -9999.
2999.59  -9999.    218.66    22.39    -14.99      1.93      12286.4    205.46    206.76     0.02     352.67     15.12 1  -9999.  -9999.   -76.8536    38.8361  -9999.  -9999.  -9999.
3000.59  -9999.    218.62    22.33    -15.00      1.98      12291.7    205.33    206.71     0.02     352.48     15.13 1  -9999.  -9999.   -76.8536    38.8359  -9999.  -9999.  -9999.
3001.59  -9999.    218.58    22.26    -15.00      2.03      12295.4    205.20    206.65     0.02     352.30     15.14 1  -9999.  -9999.   -76.8535    38.8358  -9999.  -9999.  -9999.
3002.59  -9999.    218.55    22.21    -15.00      2.07      12298.2    205.07    206.61     0.02     352.13     15.15 1  -9999.  -9999.   -76.8535    38.8357  -9999.  -9999.  -9999.
3003.59  -9999.    218.52    22.15    -15.01      2.12      12302.6    204.94    206.56     0.02     351.98     15.15 1  -9999.  -9999.   -76.8535    38.8355  -9999.  -9999.  -9999.
3004.59  -9999.    218.48    22.12    -15.01      2.15      12306.7    204.81    206.51     0.02     351.83     15.16 1  -9999.  -9999.   -76.8535    38.8354  -9999.  -9999.  -9999.
3005.59  -9999.    218.44    22.10    -15.01      2.19      12309.9    204.68    206.47     0.02     351.70     15.17 1  -9999.  -9999.   -76.8534    38.8353  -9999.  -9999.  -9999.
3006.59  -9999.    218.41    22.11    -15.01      2.22      12314.1    204.56    206.44     0.02     351.58     15.17 1  -9999.  -9999.   -76.8534    38.8351  -9999.  -9999.  -9999.
3007.59  -9999.    218.37    22.13    -15.01      2.25      12317.5    204.42    206.41     0.02     351.48     15.18 1  -9999.  -9999.   -76.8534    38.8350  -9999.  -9999.  -9999.
3008.59  -9999.    218.33    22.17    -15.01      2.27      12322.8    204.29    206.39     0.02     351.39     15.19 1  -9999.  -9999.   -76.8534    38.8348  -9999.  -9999.  -9999.
3009.59  -9999.    218.29    22.23    -15.01      2.29      12327.1    204.16    206.38     0.02     351.31     15.19 1  -9999.  -9999.   -76.8533    38.8347  -9999.  -9999.  -9999.
3010.59  -9999.    218.24    22.31    -15.02      2.31      12331.9    204.02    206.36     0.02     351.26     15.19 1  -9999.  -9999.   -76.8533    38.8346  -9999.  -9999.  -9999.
3011.59  -9999.    218.21    22.40    -15.02      2.32      12336.3    203.89    206.36     0.02     351.22     15.19 1  -9999.  -9999.   -76.8533    38.8344  -9999.  -9999.  -9999.
3012.59  -9999.    218.17    22.49    -15.02      2.32      12339.6    203.76    206.36     0.02     351.20     15.20 1  -9999.  -9999.   -76.8533    38.8343  -9999.  -9999.  -9999.
3013.59  -9999.    218.14    22.58    -15.02      2.32      12343.2    203.63    206.36     0.02     351.20     15.20 1  -9999.  -9999.   -76.8532    38.8342  -9999.  -9999.  -9999.
3014.59  -9999.    218.10    22.66    -15.02      2.32      12347.2    203.50    206.36     0.02     351.22     15.20 1  -9999.  -9999.   -76.8532    38.8340  -9999.  -9999.  -9999.
3015.59  -9999.    218.05    22.72    -15.01      2.31      12351.5    203.37    206.33     0.02     351.24     15.19 1  -9999.  -9999.   -76.8531    38.8339  -9999.  -9999.  -9999.
3016.59  -9999.    218.01    22.77    -15.01      2.30      12356.1    203.24    206.31     0.02     351.28     15.19 1  -9999.  -9999.   -76.8531    38.8338  -9999.  -9999.  -9999.
3017.59  -9999.    217.98    22.80    -15.00      2.29      12360.1    203.11    206.29     0.02     351.34     15.18 1  -9999.  -9999.   -76.8531    38.8337  -9999.  -9999.  -9999.
3018.59  -9999.    217.95    22.83    -15.00      2.27      12363.7    202.98    206.27     0.02     351.40     15.17 1  -9999.  -9999.   -76.8530    38.8335  -9999.  -9999.  -9999.
3019.59  -9999.    217.92    22.88    -14.99      2.25      12368.0    202.84    206.26     0.02     351.48     15.16 1  -9999.  -9999.   -76.8530    38.8334  -9999.  -9999.  -9999.
3020.59  -9999.    217.89    22.94    -14.98      2.22      12372.9    202.71    206.26     0.02     351.56     15.15 1  -9999.  -9999.   -76.8530    38.8332  -9999.  -9999.  -9999.
3021.59  -9999.    217.86    23.05    -14.97      2.20      12375.7    202.58    206.26     0.02     351.66     15.13 1  -9999.  -9999.   -76.8530    38.8331  -9999.  -9999.  -9999.
3022.59  -9999.    217.83    23.19    -14.96      2.17      12380.3    202.44    206.29     0.02     351.76     15.11 1  -9999.  -9999.   -76.8529    38.8330  -9999.  -9999.  -9999.
3023.59  -9999.    217.81    23.39    -14.94      2.14      12385.0    202.31    206.33     0.02     351.86     15.09 1  -9999.  -9999.   -76.8529    38.8328  -9999.  -9999.  -9999.
3024.59  -9999.    217.80    23.65    -14.92      2.11      12389.5    202.17    206.40     0.02     351.96     15.07 1  -9999.  -9999.   -76.8529    38.8327  -9999.  -9999.  -9999.
3025.59  -9999.    217.78    23.97    -14.90      2.08      12394.0    202.04    206.49     0.02     352.06     15.04 1  -9999.  -9999.   -76.8529    38.8325  -9999.  -9999.  -9999.
3026.59  -9999.    217.77    24.36    -14.88      2.05      12398.0    201.91    206.60     0.02     352.17     15.02 1  -9999.  -9999.   -76.8529    38.8324  -9999.  -9999.  -9999.
3027.59  -9999.    217.77    24.79    -14.85      2.02      12402.0    201.78    206.73     0.03     352.27     14.99 1  -9999.  -9999.   -76.8529    38.8323  -9999.  -9999.  -9999.
3028.59  -9999.    217.77    25.27    -14.83      1.99      12405.7    201.64    206.87     0.03     352.37     14.96 1  -9999.  -9999.   -76.8528    38.8321  -9999.  -9999.  -9999.
3029.59  -9999.    217.75    25.76    -14.80      1.96      12410.1    201.51    207.00     0.03     352.46     14.93 1  -9999.  -9999.   -76.8528    38.8320  -9999.  -9999.  -9999.
3030.59  -9999.    217.73    26.26    -14.76      1.93      12414.3    201.38    207.12     0.03     352.54     14.89 1  -9999.  -9999.   -76.8528    38.8319  -9999.  -9999.  -9999.
3031.59  -9999.    217.71    26.76    -14.73      1.91      12418.4    201.26    207.24     0.03     352.62     14.85 1  -9999.  -9999.   -76.8528    38.8317  -9999.  -9999.  -9999.
3032.59  -9999.    217.68    27.26    -14.69      1.89      12422.5    201.13    207.36     0.03     352.68     14.81 1  -9999.  -9999.   -76.8527    38.8316  -9999.  -9999.  -9999.
3033.59  -9999.    217.65    27.75    -14.66      1.87      12426.4    201.00    207.46     0.03     352.73     14.78 1  -9999.  -9999.   -76.8527    38.8315  -9999.  -9999.  -9999.
3034.59  -9999.    217.62    28.22    -14.62      1.85      12430.2    200.87    207.56     0.03     352.77     14.73 1  -9999.  -9999.   -76.8527    38.8313  -9999.  -9999.  -9999.
3035.59  -9999.    217.58    28.69    -14.58      1.84      12434.7    200.74    207.65     0.03     352.80     14.69 1  -9999.  -9999.   -76.8527    38.8312  -9999.  -9999.  -9999.
3036.59  -9999.    217.54    29.13    -14.53      1.83      12439.1    200.62    207.73     0.03     352.82     14.65 1  -9999.  -9999.   -76.8527    38.8311  -9999.  -9999.  -9999.
3037.59  -9999.    217.51    29.55    -14.49      1.82      12442.4    200.49    207.82     0.03     352.84     14.61 1  -9999.  -9999.   -76.8526    38.8310  -9999.  -9999.  -9999.
3038.59  -9999.    217.49    29.92    -14.45      1.81      12445.9    200.37    207.89     0.03     352.84     14.56 1  -9999.  -9999.   -76.8526    38.8308  -9999.  -9999.  -9999.
3039.59  -9999.    217.47    30.25    -14.40      1.81      12451.1    200.24    207.95     0.03     352.84     14.52 1  -9999.  -9999.   -76.8526    38.8307  -9999.  -9999.  -9999.
3040.59  -9999.    217.44    30.53    -14.36      1.81      12454.7    200.12    207.99     0.03     352.83     14.47 1  -9999.  -9999.   -76.8526    38.8306  -9999.  -9999.  -9999.
3041.59  -9999.    217.41    30.78    -14.31      1.81      12458.7    200.00    208.03     0.03     352.81     14.43 1  -9999.  -9999.   -76.8526    38.8305  -9999.  -9999.  -9999.
3042.59  -9999.    217.38    31.00    -14.27      1.81      12462.0    199.88    208.05     0.03     352.79     14.38 1  -9999.  -9999.   -76.8526    38.8303  -9999.  -9999.  -9999.
3043.59  -9999.    217.34    31.19    -14.22      1.81      12465.7    199.75    208.07     0.03     352.76     14.34 1  -9999.  -9999.   -76.8526    38.8302  -9999.  -9999.  -9999.
3044.59  -9999.    217.30    31.37    -14.18      1.81      12469.6    199.63    208.08     0.03     352.74     14.29 1  -9999.  -9999.   -76.8525    38.8300  -9999.  -9999.  -9999.
3045.59  -9999.    217.27    31.53    -14.13      1.81      12473.7    199.51    208.09     0.03     352.72     14.25 1  -9999.  -9999.   -76.8525    38.8299  -9999.  -9999.  -9999.
3046.59  -9999.    217.24    31.68    -14.10      1.81      12477.2    199.38    208.09     0.03     352.70     14.21 1  -9999.  -9999.   -76.8525    38.8298  -9999.  -9999.  -9999.
3047.59  -9999.    217.20    31.82    -14.07      1.80      12481.7    199.26    208.09     0.03     352.69     14.18 1  -9999.  -9999.   -76.8525    38.8297  -9999.  -9999.  -9999.
3048.59  -9999.    217.16    31.97    -14.04      1.80      12486.1    199.13    208.09     0.03     352.68     14.15 1  -9999.  -9999.   -76.8524    38.8296  -9999.  -9999.  -9999.
3049.59  -9999.    217.14    32.12    -14.00      1.80      12490.4    199.00    208.11     0.03     352.67     14.12 1  -9999.  -9999.   -76.8524    38.8294  -9999.  -9999.  -9999.
3050.59  -9999.    217.10    32.27    -13.96      1.80      12494.2    198.87    208.11     0.03     352.66     14.08 1  -9999.  -9999.   -76.8524    38.8293  -9999.  -9999.  -9999.
